"fname","itp","channels"
"BK_HELL_2010031004365893.npz","3000","HHE_HHN_HHZ"
"NP_1829_2007042421083989.npz","3000","HNE_HNN_HNZ"
"NC_BBGB_2014071919535438.npz","3000","HHE_HHN_HHZ"
"BK_BKS_2010042609162754.npz","3000","HHE_HHN_HHZ"
"NC_GDXB_2007042700493732.npz","3000","HNE_HNN_HNZ"
"NC_KMPB_2013052706262425.npz","3000","HHE_HHN_HHZ"
"NC_GDXB_2011081213141432.npz","3000","HHE_HHN_HHZ"
"NC_HPC_2014081122330445.npz","3000","EHE_EHN_EHZ"
"NC_GDXB_2008021803272476.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2008031301314014.npz","3000","HHE_HHN_HHZ"
"NC_MCB_2016121410262166.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2012032506012264.npz","3000","HHE_HHN_HHZ"
"BK_MHDL_2012121700034595.npz","3000","HHE_HHN_HHZ"
"NC_MCB_2014112121430675.npz","3000","HNE_HNN_HNZ"
"NC_MCB_2014112207203075.npz","3000","HHE_HHN_HHZ"
"NC_MCB_2017021402011025.npz","3000","HHE_HHN_HHZ"
"BK_PKD_2012082403233442.npz","3000","HHE_HHN_HHZ"
"BK_PACP_2012061207181359.npz","3000","BHE_BHN_BHZ"
"NC_GAXB_2015072300015592.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2009112906092285.npz","3000","HHE_HHN_HHZ"
"NC_HTU_2013050611210265.npz","3000","HNE_HNN_HNZ"
"BK_CVS_2015031021534360.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2014070302042809.npz","3000","HHE_HHN_HHZ"
"WR_SLD_2008092222254996.npz","3000","EHE_EHN_EHZ"
"NC_GDXB_2008021403090609.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2016042613111126.npz","3000","HHE_HHN_HHZ"
"NC_GDXB_2007112305190225.npz","3000","HNE_HNN_HNZ"
"WR_PEC_2011092323180398.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2016050805254881.npz","3000","HNE_HNN_HNZ"
"NN_OMMB_2017061306274784.npz","3000","HHE_HHN_HHZ"
"CI_TIN_2015112610450773.npz","3000","HHE_HHN_HHZ"
"NC_J018_2013051005123119_01.npz","3000","HNE_HNN_HNZ"
"CI_DPP_2012112510175715.npz","3000","BHE_BHN_BHZ"
"NC_BBGB_2014081004294694.npz","3000","HHE_HHN_HHZ"
"NC_JJO_2016102806292978.npz","3000","HNE_HNN_HNZ"
"NC_PSAB_2017042621570562_01.npz","3000","HNE_HNN_HNZ"
"CI_BCW_2012110204085188.npz","3000","BHE_BHN_BHZ"
"PG_ARD_2011071916205983.npz","3000","EHE_EHN_EHZ"
"BK_BDM_2016090306015235.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2008032108280983.npz","3000","HHE_HHN_HHZ"
"NP_1796_2013042000304419.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2011122104493294.npz","3000","HNE_HNN_HNZ"
"BK_BRIB_2009042819050821.npz","3000","HHE_HHN_HHZ"
"NN_OMMB_2016101510112647.npz","3000","HHE_HHN_HHZ"
"NC_C027_2015101513102261_01.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2011090705013557.npz","3000","HHE_HHN_HHZ"
"CI_CWC_2014090703353927.npz","3000","HNE_HNN_HNZ"
"NC_GDXB_2012082102164401.npz","3000","HHE_HHN_HHZ"
"NC_CCOB_2010052123135882.npz","3000","EHE_EHN_EHZ"
"NC_NSM_2011010722084571.npz","3000","EHE_EHN_EHZ"
